회기,날짜,장소,중요결의사항
제26회1차(임시),2014년 06월24일,하늘문교회,"<i class=""fa fa-angle-right""></i> 조은교회 당회장 김종수씨가 헌의한 각지교회 상납금 배정에 관한 건
<i class=""fa fa-angle-right""></i> 산본양문교회 당회장 정영교씨가 헌의한 각 지교회 상납금 배정에 관한 건
<i class=""fa fa-angle-right""></i> 서광교회 당회장 김구씨가 헌의한 각 지교회 상납금 배저에 관한 건"
"제27 회 ",2014년 10월07일,서광교회,"<i class=""fa fa-angle-right""></i> 위임목사청빙: 김호철(은향)
<i class=""fa fa-angle-right""></i> 부목사청빙: 이일도(서광)
<i class=""fa fa-angle-right""></i> 목사장립: 이일도(서광)
<i class=""fa fa-angle-right""></i> 강도사인허: 장영민,정현진(안양평안)
<i class=""fa fa-angle-right""></i> 교회가입: 큰빛교회(이광현)
<i class=""fa fa-angle-right""></i> 목사은퇴: 배인수(풀샘), 교회폐지:풀샘교회"
제28 회,2015년 04월07일,안양평안교회,"<i class=""fa fa-angle-right""></i> 노회장:박영언, 부노회장:조충휘/강덕선, 서기:황승철, 부서기:김호철, 회록서기:박혜영, 부회록서기:박종권, 회계:이영화, 부회계:이동기
<i class=""fa fa-angle-right""></i> 목사장립: 이탁열(은혜)
<i class=""fa fa-angle-right""></i> 위임연기: 김호철(은향)
<i class=""fa fa-angle-right""></i> 부목사청빙: 박정수(하늘문), 박신결,박병철(산본양문)
<i class=""fa fa-angle-right""></i> 장로증선: 창세교회, 은혜교회, 안양동성교회, 은향교회
<i class=""fa fa-angle-right""></i> 총회총대: 박영언, 김구, 정영교, 강덕선,이영화, 강명완
<i class=""fa fa-angle-right""></i> 기독신문이사: 박영언
<i class=""fa fa-angle-right""></i> 총신대이사: 김구
<i class=""fa fa-angle-right""></i> 총회선교회이사: 이은근
<i class=""fa fa-angle-right""></i> 총회실행위원:정영교"
제29 회,2015년 10월06일,산본양문교회,"<i class=""fa fa-angle-right""></i> 부목사 청빙 : 산본양문교회(서인원), 서광교회(하귀열)
<i class=""fa fa-angle-right""></i> 목사고시청원 : 산본양문교회(서인원), 서광교회(하귀열)
<i class=""fa fa-angle-right""></i> 장로고시청원 : 안양동성교회(박형근. 정함영)
<i class=""fa fa-angle-right""></i> 목사장립청원 : 산본양문교회(서인원), 서광교회(하귀열)
<i class=""fa fa-angle-right""></i> 강도사인허 : 산본양문교회(김준. 한은택)
<i class=""fa fa-angle-right""></i> 교회주소변경 : 조은교회, 은혜교회"
제30 회,2016년 04월05일,안양평안교회,"<i class=""fa fa-angle-right""></i> 임원선출 : 노회장(조충휘)  부노회장(김호철/이영화) 서기(박혜영) 부서기(문보길) 회의록서기(김종수) 부회의록서기(우기종) 회계(김재득)  부회계(조뒤휘)
<i class=""fa fa-angle-right""></i> 총회총대 : 조충휘. 김구. 정영교(부:남명철. 이흥근. 강명호) / 장로총대 : 이영화. 강덕선. 김재득. (부:정현진.박태섭.이동기)
<i class=""fa fa-angle-right""></i> 총신신학원 이사 : 김구   / 기독신문이사 : 박영언  / 총회실행위원 : 정영교  / 총회선교회이사 : 이흥근
<i class=""fa fa-angle-right""></i> 이명접수 : 마훈희(서울노회에서 산본양문교회로)
<i class=""fa fa-angle-right""></i> 강도사청원허락 : 박일신(산본양문교회)
<i class=""fa fa-angle-right""></i> 장로증선 : 산본양문교회 5인  / 하늘문교회 1인
<i class=""fa fa-angle-right""></i> 100회총회 헌법 개정 결의에 따른 노회 수의 허락 : 찬성26명"
제31 회,2016년 10월04일,산본양문교회,"<i class=""fa fa-angle-right""></i> 강도사인허청원허락 : 유인채(등대교회), 박일신(산본양문교회)
<i class=""fa fa-angle-right""></i> 목사청빙청원 : 위임목사(나종춘.대유평교회), 
<i class=""fa fa-angle-right""></i> 목사가입 : 유병구목사(사랑하는교회)
<i class=""fa fa-angle-right""></i> 교회가입 : 사랑하교회(유병구목사 시무)
<i class=""fa fa-angle-right""></i> 이명(이거) : 목사이명(송대선.한성노회 비전중앙교회로), 강도사이명(유인채,안동노회 성현교회로)
<i class=""fa fa-angle-right""></i> 고시청원허락 : 김승기,김형규,윤봉호,최종식,김학재- 이상 산본양문교회
<i class=""fa fa-angle-right""></i> 강도사고시 추천청원허락 : 이성민(행복한교회), 이창기(안양평안교회)
<i class=""fa fa-angle-right""></i> 장로증선 및 선택허락 : 행복한교회 1인, 안양평안교회 2인.
<i class=""fa fa-angle-right""></i> 내회장소 : 서광교회당."
제32회,2017년 04월04일,서광교회,"<i class=""fa fa-angle-right""></i> 목사시무 사면 청원: 이상훈목사
<i class=""fa fa-angle-right""></i> 위임목사 청빙 청원: 오준철목사
<i class=""fa fa-angle-right""></i> 부목사 청빙 청원: 문진형, 김신우
<i class=""fa fa-angle-right""></i> 목사 이명(이거) 청원: 이상훈목사
<i class=""fa fa-angle-right""></i> 강도사 이명(이거) 청원: 박일신
<i class=""fa fa-angle-right""></i> 강도사 이명(이래) 청원: 백종수
<i class=""fa fa-angle-right""></i> 고시 청원: 정민영(목사후보생고시)
<i class=""fa fa-angle-right""></i> 장로선택 및 증선 허락 청원: 서광교회 김구목사  장로 2인 증선
<i class=""fa fa-angle-right""></i> 재정보조 청원: 박종권, 최영도, 이광현, 이덕재, 김영일"
제32회1차(임시),2017년 07월20일,빛된은향교회,"<i class=""fa fa-angle-right""></i> 강도사이명허락 : 이래/김상욱(중부노회에서), 김보근(강남노회에서)
<i class=""fa fa-angle-right""></i> 장로선택허락: 사랑하는교회1인
<i class=""fa fa-angle-right""></i> 목사이명허락: 이래/이원희,곽성열,노진경(평북노회에서)
<i class=""fa fa-angle-right""></i> 교회이명허락: 복지중앙교회,지명교회,한길교회(평북노회에서)"
제33회,2017년 10월17일,산본양문교회,"<i class=""fa fa-angle-right""></i> 부목사 청빙청원: 하성봉, 백종수, 이종혁, 김보근(목사장립 후)
<i class=""fa fa-angle-right""></i> 목사 장립 청원: 백종수, 이종혁, 김보근
<i class=""fa fa-angle-right""></i> 목사이명(이거) 청원: 박신결(산본양문교회에서 평양노회 평안교회로)
                   서인원(산본양문교회에서 충남노회 서산제일장로교회로)
<i class=""fa fa-angle-right""></i> 목사고시청원: 백종수, 이종혁, 김보근
<i class=""fa fa-angle-right""></i> 강도사 인허 청원: 이성민, 이창기
<i class=""fa fa-angle-right""></i> 강도사고시 추천 청원: 정민영, 강치현
<i class=""fa fa-angle-right""></i> 목사후보생고시 청원: 김병균(진리와 사랑의 교회 오준철목사)
<i class=""fa fa-angle-right""></i> 장로고시 청원: 김현수(사랑하는교회), 김명수(서광교회)
<i class=""fa fa-angle-right""></i> 임시당회장 청원: 사랑하는교회(유병구목사) 산본양문교회 당회장 정영교목사
<i class=""fa fa-angle-right""></i> 교회주소 변경 청원: 이걸주목사"
제33회1차(임시),2018년 02월08일,안양동성교회,"<i class=""fa fa-angle-right""></i> -선교사 사임-
(1) 이승목씨가 청원한 선교사 사임 접수의 건
<i class=""fa fa-angle-right""></i> -부목사 사임
(1) 박병철씨가 청원한 부목사 사임 접수의 건
<i class=""fa fa-angle-right""></i> -목사 이명(이거)-
(1) 이승목씨가 청원한 이명(이거) 청원 접수의 건
(2) 박병철씨가 청원한 이명(이거) 청원 접수의 건
<i class=""fa fa-angle-right""></i> -강도사 이명(이거)-
(1) 평안교회 당회장 정규천씨가 청원한 강도사 이창기씨 이명(이거) 접수의 건
   (서대전노회로)"
제34회,2018년 04월03일,서광교회,"<i class=""fa fa-angle-right""></i> 임원선출
노회장 박혜영 목사(산오름교회)  부노회장 우기종 목사(덕원교회),김재득 장로(평안교회)
서  기 김종수 목사(조은교회)  부서기 조용구 목사(새희망교회)
회의록서기 김  구 목사(서광교회) 회의록 부서기 이광현 목사(큰빛교회)
회계강덕선장로(창세교회) 부회계 이영화장로(조은교회)

<i class=""fa fa-angle-right""></i> 총회총대
① 목사총대 : 박혜영 김  구  정영교.   부:  나종춘 이흥근 남명철 
② 장로총대 : 김재득 강덕선  이영화.   부:  이동기 강재성 박태섭

<i class=""fa fa-angle-right""></i> 이사현황
①총신 신학원 이사 : 김구 
②기독신문 이사 : 박혜영
③총회실행위원: 정영교
④총회 선교회 이사 : 나종춘
⑤미자립위원회 이사: 박혜영
⑥미자립위원회 간사 : 문보길

<i class=""fa fa-angle-right""></i> 안건처리
① 위임목사 사면 허락 ; 최성배(한소망교회)         
② 이명 접수 (이래/이거)      
1) 이래허락 : 목사후보생 정성수 (경기동부노회에서)
2) 이거허락 : 목사 박정수 (김천노회로), 강도사 이성민(수원노회로)
              목사 최성배 (소래노회로)
③ 목사 가입
1) 이래허락 : 최본우(혜성교회), 주석(낙원교회) [서류 보완후 허락] 
④ 교회가입
1) 이래허락 : 혜성교회(시무:최본우)

⑤ 교회이적
1) 이거허락 : 한소망교회(소래노회로:새안양교회와 합병)
 
⑥ 장로 취임 허락 : 1) 행복한교회 이달근 장로 (2017.12.16.취임)

⑦ 장로 증선 허락 : 1) 창세교회 : 2인, 2) 안양동성교회 : 1인

⑧ 재정 보조 허락 : 새능력교회, 수원양문교회, 안산선한교회, 은혜교회 (각 20만원/월)

⑨ 각종 청원의 건 : 
1) 노회장/부노회장 금뺏지 1회에 한하여 지급키로 가결함
2) 미자립위원회 간사 김종수 목사 사임 허락
3) 미자립위원회 노회 파송이사는 신임 노회장이 당연직 파송이사 허락
4) 미자립교회 지원 사업을 전도부에서 미자립위원회로 넘기기로 가결함(2019년도봄노회부터) 
5) 총회 헌법개정 결의에 따른 노회 수의는 반대 18표로 부결하다.
6) 은퇴 여동문 은급행사지원 요청의 건은 찬성4,반대7표 로 부결하다.
7) 재정부 보고의건
① 회의순서지 35-40페이지대로받다. 단,정기노회 2회100만원씩,임시노회 50만원씩 지원결의하다.
② 총신이사비는 노회가 50%, 이사본인 50% 부담키로하고 총대비도 이에 준한다로 가결하다 (총신이사:개인150만원, 총대:15만원)
③ 상회비 조정 교회
안양동성교회=11만원, 행복한교회=10만원, 호계동산교회=8만원, 등대교회=9만원
서광교회=32만원, 한길교회=5만원, 조은교회=10만원, 시화서부교회=10만원
삼흥교회=10만원 진리와사랑의교회=7만원 
  
11.시찰조직
   1) 혜성교회(시무:최본우목사) : 의왕시찰로 배정
   2) 낙원교회(시무:주석목사) : 서류 미미로 추후 임원회에서 결정키로 가결하다"
제35회,,,
